author,career_length,paper_year
Jared Simpson,5,0
Jan Larsen,22,16
David S. Ebert,25,14
Mike A. Nalls,7,4
Kasper D. Hansen,10,6
Seung-Schik Yoo, Ph.D., MBA,17,10
Chunqiang (CQ) Tang,39,28
Tevfik Bultan,23,13
Minh N. Do,16,7
Jeff Erickson,27,12
Michael Cohen,37,19
Paola Flocchini,23,14
Umit Ogras,11,7
Yehuda Lindell,16,2
Cesare Pautasso,14,8
Alejandro Buchmann,36,10
Kevin Hammond,28,6
Aggelos K Katsaggelos,31,14
Raghu Ramakrishnan,28,10
Daniel R. Mende,4,0
Arie Kaufman,40,16
Paul Bradley,16,1
Kristin P. Bennett,22,1
Roger Zimmermann,21,3
David Moore,25,21
kevin burrage,36,17
Lalit Mohan Patnaik,37,17
Peter Belhumeur,28,11
Yingbin Liang,36,30
Xiao Qin,29,25
Tom Mens,20,10
Armand Valsesia,21,14
Emo Todorov,19,7
Ross Cutler,16,4
Martin Abadi,29,4
Salvatore Stolfo,35,19
Scott Wen-tau Yih,17,9
Carlos Kavka,22,21
Jingyi Jessica Li,5,3
Rafael Martí,18,4
Yi Mu,22,13
Frederik Orellana,11,11
Ann Scher,34,27
Ray Zimmerman,22,19
Andrea DE LUCIA,22,10
Luke Zettlemoyer,16,14
Il Hong Suh,35,24
Cihan Tepedelenlioglu,16,1
Martin Pinzger,12,1
Masahiro Yamaguchi,28,18
Mahmoud Naghshineh,18,0
changzhong wang,38,32
Elena Marchiori,23,13
Ole Wæver,29,14
Piotr Luszczek,14,11
Bobby Bodenheimer,25,9
Kenneth Lange,42,12
Vikas Sindhwani,13,5
Li Bai,18,10
Honghai Liu,38,36
Niko Troje,21,9
Luc Florack,25,3
Peyman Milanfar,24,14
Alexei A. Efros,19,4
Matthias Schonlau,22,6
Kenichi Kanatani,37,28
Ketil Stølen,24,11
Rodrigo N. Calheiros,9,6
Ernest Lenard Hall,40,10
Tarek Hamel,16,12
Alex C. Snoeren,16,3
Benedict Dellaert,21,11
Danyang Zhang,34,18
Francesco Bonchi,15,11
Clifford Neuman,26,7
Lee Sanghwan,39,28
John S Thompson,36,29
Holger Regenbrecht,19,6
Jim des Rivières,26,13
Jin Zhang,35,32
Emiel Krahmer,23,12
Shambhu Upadhyaya,27,20
Radim Belohlavek,20,8
Rada Mihalcea,16,6
Yuan Xie,35,26
Julia A Schnabel,20,9
Jeff Trinkle,30,12
Chiew-Lan Tai,17,12
jerome bobin,9,8
Paolo Favaro,14,2
Aldo de Luca,42,1
Jean-François Cordeau,18,5
Michael Codish,28,13
Fulvio Corno,21,8
Bogdan Georgescu,15,2
Yongsheng Gao,34,27
Kellogg S. Booth,41,4
David Galas,39,20
Matthew Hurst,17,13
Adam Paul Arkin,24,12
Warren Adams,29,6
Todd Johnson,24,3
Emin Gün Sirer,20,1
Cyril Goutte,18,3
Susan Hohenberger,13,5
Paul Goldberg,21,16
Brian Anderson,49,14
Lidia Fuentes,21,11
Scott D. Stoller,23,15
Bernard Lang,40,18
Andrew Whinston,51,33
Joo-Ho Lee,28,16
Wang Guangtao,37,21
Michael Patriksson,23,3
Jason Weston,18,6
Marcelo Bagnulo,13,8
Robert D Nowak,32,16
Loukas Lazos,12,2
Paul Lukowicz,22,12
Henry Fuchs,44,7
Austin Tate,40,3
Ronald C. Arkin,27,11
Simon Dobson,22,14
patrick pérez,23,13
William J. Rapaport,38,11
Richard M. Stern,45,27
Morteza Mahmoudi,12,9
Frank Scherbaum,32,21
Michael Negnevitsky,21,12
Alan Chalmers,26,17
Brahim Bensaou,21,11
Michael Luck,22,11
James Lin,31,19
Neoklis Polyzotis,12,0
Carl A. Gunter,30,7
Mooi Choo Chuah,21,0
John R. Savery,23,6
Yun Xu,36,28
Vincent P. Wallace,29,17
Bernadette Dorizzi,23,13
Jong Bhak,19,5
Tom Duckett,18,9
Mei Han,28,18
William Macready,20,3
Payel Das,26,9
Tracy Hall,20,14
Victor Shoup,27,11
Ralf Schlüter,17,4
Ian Barrodale,33,7
Berthold Vöcking,19,5
Ye-Qiong Song + YeQiong Song,31,18
Alfredo De Santis,29,7
Ruby B. Lee,38,20
raman k mehra,47,3
Kemal Oflazer,36,16
Benjamin C. Lee,12,7
Andrew Blake,31,15
Cristiano Castelfranchi,43,24
John Riedl,28,8
John S. Baras,41,33
Paul A Bates,41,31
Yunhao Liu,11,1
eric lecolinet,25,7
Noam Shomron,12,4
Shuang Cong,22,6
David Dunson,16,15
RV Guha,25,1
Hossein Nezamabadi-pour,12,6
Marcin Balcerzyk,22,15
John Abraham,19,2
Richard E Ladner,41,7
Kurt Geihs,28,23
Osvaldo N. Oliveira Jr.,30,27
Xinqiao (Chiao) Liu,35,12
Sven Loncaric,26,10
Martin Schoeberl,11,5
Friedrich Foerster,12,3
Jim S Jimmy Li,34,30
Katia Sycara,27,11
Shai Shalev-Shwartz,12,9
Leighton Pritchard,15,10
Wanda Pratt,19,0
Ludmila Kuncheva,24,14
Chris Clifton,24,13
Lev Dudko,20,17
Giorgos Stamou,20,11
Alan Hanjalic,18,6
Srinivasan Parthasarathy,23,6
Richard F. Paige,20,14
Alex Hauptmann,31,23
Fahiem Bacchus,27,7
Gregg Vanderheiden,40,27
Vikas Singhal,10,3
Markus M. Breunig,15,5
Benyuan Liu,18,7
Nicole Yankelovich,26,3
Paul Davidsson,23,12
Ting Yu,19,8
steve benford,27,16
Joost-Pieter Katoen,25,19
mike davies,22,17
Curt H. Davis,30,24
Dirk Haehnel,11,1
PHILLIPS, WT,25,10
Vladimir Petrovic,28,14
Michael R. Watts,22,14
Nicholas Freitag McPhee,25,19
Shan Lu,10,4
Jont B Allen,40,6
Michael A. Casey,25,20
Jayme Luiz Szwarcfiter,39,7
Kenneth Salisbury,34,14
Gerhard Lakemeyer,28,13
Daniel M Russell,35,14
Eric A. Hansen,21,9
Fernando J. Pineda,35,9
Herbert Simon,59,8
Yinguang Li,34,24
Bernd Freisleben,29,15
Zoran Zivkovic,11,3
Joëlle Coutaz,30,19
Tony Jebara,19,14
Yoichi Hayashi,39,25
Martin Buehler,27,14
Thomas Erickson,32,19
Mo M Jamshidi,45,27
Sylvain Calinon,11,4
Wray Buntine,28,5
Risi Kondor,11,0
B Ninness,23,7
Nicolas Pasquier,14,1
David Doermann,22,8
Juhani Iivari,36,17
Reza Langari,32,16
Jun Xu,19,11
Dan Rubenstein,16,5
John K. Tsotsos,39,20
Barry Smyth,21,13
Lawrence Larmore,44,21
Blaz Zupan,20,10
Evangelos Papadopoulos,33,11
Daqing Zhang,34,24
Eric Xing,16,4
Adam Porter,26,7
Emery Berger,22,9
Steve Howard,27,18
Stijn van Dongen,15,10
Darko Stefanovic,22,14
Theresa A. Wilson,12,4
Hirokazu Kato,46,31
Greg Welch,33,14
Haining Wang,33,20
Anurag Kumar,31,22
Frank Ruskey,37,28
Bruno Arnaldi,28,21
Christina Soh,28,14
Sina Farsiu,12,2
Pedro Moreno,25,18
Yunong Zhang,16,7
Denis Gillet,26,17
Jan Bosch,23,9
Vincent Wade,22,15
Seth R. Flaxman,5,4
Jingbo Zhu,34,23
Christian von Mering,16,4
Jun Wang,34,25
Jian Li,33,26
Zhongyuan Wang,36,20
Leon Rothkrantz,34,20
Dr Richard Dobson,15,7
Kentaro Inui,22,10
Changshui Zhang,31,25
PC Yuen,22,9
Gao Cong,15,4
Subbarao Kambhampati,29,0
Jian Su,18,7
Przemyslaw Prusinkiewicz,30,6
Michael Shamos,36,11
Martin Golumbic,39,29
Wenjin Zhou,32,12
Gul Agha,29,1
Karen Egiazarian,23,15
deqing li,34,26
Stephen Robinson,52,32
Aloimonos,35,8
cheng-zhong xu,35,17
Elizabeth Churchill,23,9
Divyakant Agrawal,28,18
Neil F Doherty,24,9
Jeremy M. Simon,4,2
Peter Hastings,21,14
Hui Zhang,33,10
Janos Korner,43,40
Martin Neil,24,9
Alexey Boyarsky,19,13
Srinivasan Raghunathan,22,12
Hai Wang,33,20
Nouredine Melab,18,10
Mark Jones,24,18
John R. Buck,25,0
M. Palaniswami,32,18
Marzena Kryszkiewicz,20,4
Giovanni Manzini,23,9
Andrea Prati,16,5
Juan Carlos De Martin,19,14
Walfredo Cirne,17,6
M Halkidi,12,1
U Rajendra Acharya, PhD, DEng,15,7
Dimitris Bertsimas,26,9
Lance Kaplan,21,6
Ramon Lopez de Mantaras,38,15
Brian Wandell,40,30
Sergey Koren,7,4
Ron Pinter,33,23
Jean-Philippe Tarel,19,8
Pier Luca Lanzi,17,9
Yike Guo,31,21
Jun Miura,22,9
Michael A Beer,23,16
Charles DeLisi,44,16
Charles Kemp,12,4
Avelino Gonzalez,31,10
Yulan He,32,27
linna li,37,36
Evgeniy Gabrilovich,17,10
TB Kepler,22,9
Aris Dimeas,9,1
Priya Narasimhan,18,13
Torsten Grust,17,6
Rene Vidal,16,7
AJ Bernheim Brush,14,5
Takeshi Obayashi,15,8
Ming C Leu,35,19
Byeungwoo Jeon,24,14
Torsten Rohlfing,18,7
James Morris,41,7
Yin Zhang (张寅),33,27
Brian Fitzgerald,20,8
Jonathan Chang,39,30
Kim-Chuan Toh,20,5
